PATIENT_ID,TMED4,TMED9
TCGA.DH.5142.01,9.628879286,11.4219228
TCGA.DH.5143.01,9.967615345,10.95354171
TCGA.DH.5144.01,10.08547246,10.7980019
TCGA.DH.A669.01,10.25041686,11.24209632
TCGA.DH.A66B.01,9.70816309,11.20863065
TCGA.DH.A66D.01,9.79836163,10.86553224
TCGA.DH.A66F.01,10.02004932,10.99116042
TCGA.DH.A66G.01,9.512537029,10.47025214
TCGA.DH.A7UR.01,10.09903215,11.13570929
TCGA.DH.A7US.01,10.17211493,11.13687579
TCGA.DH.A7UT.01,9.970781771,11.22136961
TCGA.DH.A7UU.01,9.844862656,10.30998786
TCGA.DH.A7UV.01,9.736873732,10.96193437
TCGA.DU.5847.01,10.67078016,11.50890398
TCGA.DU.5849.01,10.00095772,10.72621816
TCGA.DU.5851.01,9.778413938,10.55010224
TCGA.DU.5852.01,10.06319282,11.56502589
TCGA.DU.5853.01,9.502875552,10.5861924
TCGA.DU.5854.01,10.55234249,11.32058057
TCGA.DU.5855.01,10.77068867,10.62464926
TCGA.DU.5870.01,9.916991587,10.91672294
TCGA.DU.5871.01,10.01425764,10.73573371
TCGA.DU.5872.01,10.17898846,11.08256821
TCGA.DU.5874.01,10.34478412,10.835782
TCGA.DU.6392.01,9.807541687,11.45152023
TCGA.DU.6393.01,10.40062331,10.61591465
TCGA.DU.6394.01,10.14357454,11.40675242
TCGA.DU.6395.01,10.4329281,11.264208
TCGA.DU.6396.01,10.09965026,11.12382395
TCGA.DU.6397.01,10.18272954,10.97120583
TCGA.DU.6399.01,9.754578559,10.90120631
TCGA.DU.6400.01,10.26766454,10.83435253
TCGA.DU.6401.01,10.1031173,10.39296134
TCGA.DU.6402.01,10.87044178,11.96954841
TCGA.DU.6403.01,10.42488011,11.03644152
TCGA.DU.6404.01,10.69756708,11.01987563
TCGA.DU.6405.01,10.09891375,11.36146682
TCGA.DU.6406.01,10.29039906,11.51545346
TCGA.DU.6407.01,10.45815025,10.90445399
TCGA.DU.6408.01,10.11107045,10.81910931
TCGA.DU.6410.01,10.36836459,10.31692636
TCGA.DU.6542.01,10.01107347,10.92559894
TCGA.DU.7006.01,10.6043957,11.63869836
TCGA.DU.7007.01,10.26997988,11.43060413
TCGA.DU.7008.01,9.694117563,10.78869387
TCGA.DU.7009.01,9.945263854,10.4249011
TCGA.DU.7010.01,9.262623423,10.8963097
TCGA.DU.7011.01,9.625043954,10.93315213
TCGA.DU.7012.01,10.91581964,11.20457726
TCGA.DU.7013.01,10.9343322,11.45669323
TCGA.DU.7014.01,10.09610896,10.83872333
TCGA.DU.7015.01,10.16087986,10.99349747
TCGA.DU.7018.01,9.941072556,10.58305455
TCGA.DU.7019.01,9.66354921,10.90225451
TCGA.DU.7290.01,10.56514969,11.53615006
TCGA.DU.7292.01,9.669092335,11.31681325
TCGA.DU.7294.01,10.04161809,10.5713924
TCGA.DU.7298.01,9.760570265,10.75643957
TCGA.DU.7299.01,9.897362965,10.75240574
TCGA.DU.7300.01,9.736092387,10.66082489
TCGA.DU.7301.01,10.04562317,10.86551677
TCGA.DU.7302.01,9.580916158,10.38303462
TCGA.DU.7304.01,9.938576913,10.52007843
TCGA.DU.7306.01,9.664296163,10.76551817
TCGA.DU.7309.01,9.539023067,10.33467553
TCGA.DU.8158.01,10.31054462,11.36642604
TCGA.DU.8161.01,10.74924094,11.47146692
TCGA.DU.8162.01,9.784358384,10.66634829
TCGA.DU.8163.01,10.24131585,10.77365024
TCGA.DU.8164.01,9.791174287,10.61408405
TCGA.DU.8165.01,10.87786692,11.06770324
TCGA.DU.8166.01,10.18621331,10.69783636
