PATIENT_ID,TMED4,TMED9
TCGA.F6.A8O3.01,923.056,2009.72
TCGA.F6.A8O4.01,891.112,2223.02
TCGA.FG.5962.01,1050.48,1377.14
TCGA.FG.5963.01,1242.06,2374.24
TCGA.FG.5964.01,743.243,2407.04
TCGA.FG.5965.01,935.764,1986.92
TCGA.FG.6688.01,1372.77,3031.7
TCGA.FG.6689.01,851.864,1895.68
TCGA.FG.6690.01,842.192,1628.35
TCGA.FG.6691.01,1347.8,1989.85
TCGA.FG.6692.01,976.704,4373.52
TCGA.FG.7634.01,971.342,1758.37
TCGA.FG.7636.01,852.914,2098.59
TCGA.FG.7637.01,1020.66,1233.1
TCGA.FG.7638.01,786.21,2006.5
TCGA.FG.7641.01,987.051,1276.34
TCGA.FG.7643.01,948.151,1783.9
TCGA.FG.8181.01,614.297,1412.41
TCGA.FG.8182.01,1085.34,1457.5
TCGA.FG.8185.01,863.24,1991.88
TCGA.FG.8186.01,913.616,1961.93
TCGA.FG.8187.01,1225.16,1667.09
TCGA.FG.8188.01,815.933,1924.29
TCGA.FG.8189.01,749.658,1209.3
TCGA.FG.8191.01,1062.16,1347.15
TCGA.FG.A4MT.01,1257.12,2266.62
TCGA.FG.A4MU.01,1452.75,3543.96
TCGA.FG.A4MW.01,1104.66,2751.68
TCGA.FG.A4MX.01,438.755,1479.92
TCGA.FG.A4MY.01,899.012,1600.4
TCGA.FG.A60J.01,1020.24,1776.76
TCGA.FG.A60K.01,1099.61,1716.52
TCGA.FG.A60L.01,491.981,3634.76
TCGA.FG.A6IZ.01,600.864,3960.26
TCGA.FG.A6J1.01,596.27,3287.8
TCGA.FG.A6J3.01,420.94,4464.1
TCGA.FG.A70Y.01,906.616,2114.32
TCGA.FG.A70Z.01,1250.75,3759.28
TCGA.FG.A710.01,847.208,2903.41
TCGA.FG.A711.01,807.018,2596.05
TCGA.FG.A713.01,789.133,1534.28
TCGA.FG.A87N.01,804.032,2514.38
TCGA.FG.A87Q.01,1067.26,2780.27
TCGA.FN.7833.01,779.674,2283.75
TCGA.HT.7467.01,1009.03,1291.86
TCGA.HT.7468.01,951.431,1843.36
TCGA.HT.7469.01,1106.01,1351.57
TCGA.HT.7470.01,746.046,1503.65
TCGA.HT.7471.01,1137.81,1848.21
TCGA.HT.7472.01,955.569,2008.87
TCGA.HT.7473.01,1394.27,1721.4
TCGA.HT.7474.01,628.252,1539.91
TCGA.HT.7475.01,802.113,1536.23
TCGA.HT.7476.01,742.162,1800.33
TCGA.HT.7477.01,894.816,1745.3
TCGA.HT.7478.01,709.06,2260.51
TCGA.HT.7479.01,1004.55,1827.21
TCGA.HT.7480.01,929.699,1532.28
TCGA.HT.7481.01,871.002,1379.31
TCGA.HT.7482.01,896.497,2012.47
TCGA.HT.7483.01,768.924,1774.36
TCGA.HT.7485.01,945.946,1914.17
TCGA.HT.7601.01,808.228,2540.65
TCGA.HT.7602.01,1003.56,1895.05
TCGA.HT.7603.01,718.632,1909.76
TCGA.HT.7604.01,851.691,1745.64
TCGA.HT.7605.01,907.243,1823.36
TCGA.HT.7606.01,1027.47,2233.02
TCGA.HT.7607.01,813.468,1347.14
TCGA.HT.7608.01,1202.47,2111.91
TCGA.HT.7609.01,901.556,1811.67
TCGA.HT.7610.01,796.798,1544.2
TCGA.HT.7611.01,986.892,2022.8
TCGA.HT.7616.01,1066.5,1668.36
TCGA.HT.7620.01,1108.01,1374.6
TCGA.HT.7676.01,774.31,2426.97
TCGA.HT.7677.01,1208.62,1555.94
TCGA.HT.7680.01,1281.61,1938.35
TCGA.HT.7681.01,846.497,2018.88
TCGA.HT.7684.01,1156.01,3095.95
TCGA.HT.7686.01,927.24,2852.65
TCGA.HT.7687.01,1134.86,1476.38
TCGA.HT.7688.01,889.132,1211.56
TCGA.HT.7689.01,1009.36,1995.91
TCGA.HT.7690.01,724.394,2406.73
TCGA.HT.7691.01,1032.62,3123.11
TCGA.HT.7692.01,811.263,1703.2
TCGA.HT.7693.01,1210.59,2014.45
TCGA.HT.7694.01,808.749,1407.01
TCGA.HT.7695.01,887.563,1371.94
TCGA.HT.7854.01,1001.89,1826.31
TCGA.HT.7855.01,1200.76,1614.67
TCGA.HT.7856.01,895.518,1373.11
TCGA.HT.7857.01,1032.01,3184.52
TCGA.HT.7858.01,933.999,1770.91
TCGA.HT.7860.01,1232.71,2212.9
TCGA.HT.7873.01,854.62,1955.85
TCGA.HT.7874.01,832.775,1344.17
TCGA.HT.7875.01,1072.12,1846.45
TCGA.HT.7877.01,1001.55,1508.23
TCGA.HT.7879.01,870.027,1601.13
TCGA.HT.7880.01,822.652,1426.71
TCGA.HT.7881.01,931.934,1527.94
TCGA.HT.7882.01,940.029,4104.45
TCGA.HT.7884.01,851.613,1359.63
TCGA.HT.7902.01,1244.5,1417.89
TCGA.HT.8010.01,1301.09,1688.95
TCGA.HT.8011.01,1772.21,3184.03
TCGA.HT.8012.01,1085.62,1782.5
TCGA.HT.8013.01,1396.49,2339.24
TCGA.HT.8015.01,785.984,1859.84
TCGA.HT.8018.01,801.331,2140.68
TCGA.HT.8019.01,663.905,1333.81
TCGA.HT.8104.01,1159.73,2645.96
TCGA.HT.8105.01,1198.33,1507.2
TCGA.HT.8106.01,911.296,2434.52
TCGA.HT.8107.01,748.249,955.461
TCGA.HT.8108.01,783.528,1482.08
TCGA.HT.8109.01,932.975,1334.57
TCGA.HT.8110.01,1693.31,2626.81
TCGA.HT.8111.01,915.134,1936.7
TCGA.HT.8113.01,742.825,1122.05
TCGA.HT.8114.01,766.968,1869.82
TCGA.HT.8558.01,844.567,1255.16
TCGA.HT.8563.01,1064,3630.21
TCGA.HT.8564.01,938.772,2401.56
TCGA.HT.A4DS.01,706.751,4580.48
TCGA.HT.A4DV.01,962.4,1947.2
TCGA.HT.A5R5.01,1065.16,2108.26
TCGA.HT.A5R7.01,686.535,1646.44
TCGA.HT.A5R9.01,1424.37,1317.54
TCGA.HT.A5RA.01,1085.81,3886.73
TCGA.HT.A5RB.01,860.019,1489.45
TCGA.HT.A5RC.01,1716.6,3542.87
TCGA.HT.A614.01,899.397,1379.82
TCGA.HT.A615.01,1239.29,2644.46
TCGA.HT.A616.01,600.842,1606.73
TCGA.HT.A617.01,1382.27,2696.71
TCGA.HT.A618.01,700.597,1921.62
TCGA.HT.A61A.01,777.782,1595.73
TCGA.HT.A61B.01,642.096,3487.57
TCGA.HT.A61C.01,1800.12,4659.19
TCGA.HT.A74H.01,1430.9,3464.79
TCGA.HT.A74J.01,1138.47,2176.55
TCGA.HT.A74K.01,540.732,4137.54
TCGA.HT.A74L.01,1221.84,1664.7
TCGA.HT.A74O.01,624.537,3588.58
TCGA.HW.7486.01,1021.68,1674.84
TCGA.HW.7487.01,909.912,1338
TCGA.HW.7489.01,753.835,1652.52
TCGA.HW.7490.01,894.232,1956.76
TCGA.HW.7491.01,788.459,1544.15
TCGA.HW.7493.01,778.574,1618.88
TCGA.HW.7495.01,1006.52,1452.03
TCGA.HW.8319.01,945.552,1581.51
TCGA.HW.8320.01,927.303,1692.94
TCGA.HW.8321.01,926.288,1238.61
TCGA.HW.8322.01,1261.97,1512.56
TCGA.HW.A5KJ.01,609.15,1718.55
TCGA.HW.A5KK.01,1078.12,2386.92
TCGA.HW.A5KL.01,795.792,1484.98
TCGA.HW.A5KM.01,764.532,3118.81
TCGA.IK.7675.01,989.602,1158.19
TCGA.IK.8125.01,861.795,1441.78
TCGA.KT.A74X.01,734.969,2276.37
TCGA.KT.A7W1.01,1376.44,3622.24
TCGA.P5.A5ET.01,895.652,2136.36
TCGA.P5.A5EU.01,947.269,3528.06
TCGA.P5.A5EV.01,1023.35,2345.81
TCGA.P5.A5EW.01,874.772,1812.06
TCGA.P5.A5EX.01,1347.16,4064.85
TCGA.P5.A5EY.01,884.694,2102.04
TCGA.P5.A5EZ.01,1086.98,1366.56
TCGA.P5.A5F0.01,1233.34,1430.31
TCGA.P5.A5F1.01,901.946,2498.08
TCGA.P5.A5F2.01,1427.48,1818.84
TCGA.P5.A5F4.01,862.54,1630.41
TCGA.P5.A5F6.01,955.918,5444.44
TCGA.P5.A72U.01,1169.86,4767.64
TCGA.P5.A72W.01,761.013,2487.09
TCGA.P5.A72X.01,887.286,1877.35
TCGA.P5.A72Z.01,1635.6,2383.34
TCGA.P5.A730.01,1007.6,1923.95
TCGA.P5.A731.01,1030.52,2724.9
TCGA.P5.A733.01,705.052,2176.99
TCGA.P5.A735.01,878.38,2354.22
TCGA.P5.A736.01,991.141,2810.08
TCGA.P5.A737.01,949.938,1690.26
TCGA.P5.A77W.01,1071.85,2086.38
TCGA.P5.A77X.01,1385.63,1833.91
TCGA.P5.A780.01,903.981,1858.7
TCGA.P5.A781.01,1138.57,2081.44
TCGA.QH.A65R.01,936.982,2115.67
TCGA.QH.A65S.01,911.261,2549.57
TCGA.QH.A65V.01,1081.79,2589.63
TCGA.QH.A65X.01,675.633,3957.81
TCGA.QH.A65Z.01,965.02,2050.28
TCGA.QH.A6CS.01,1830.19,2810.3
TCGA.QH.A6CU.01,1114.64,2888.15
TCGA.QH.A6CV.01,1722.78,7675.35
TCGA.QH.A6CW.01,752.15,2164.39
TCGA.QH.A6CX.01,999.161,2954.41
TCGA.QH.A6CY.01,794.173,1893.1
TCGA.QH.A6CZ.01,1108.41,1649.66
TCGA.QH.A6X3.01,874.093,1625.27
TCGA.QH.A6X4.01,1073.26,2102.8
TCGA.QH.A6X5.01,996.476,2192.63
TCGA.QH.A6X8.01,858.759,2285.26
TCGA.QH.A6X9.01,1153.42,1535.77
TCGA.QH.A6XA.01,793.226,2143.49
TCGA.QH.A6XC.01,1163.1,3751.46
TCGA.QH.A86X.01,1124.56,2048.58
TCGA.QH.A870.01,1438.33,2232.6
TCGA.R8.A6MK.01,1009.58,2262.17
TCGA.R8.A6ML.01,954.452,2166.2
TCGA.R8.A6MO.01,953.006,2354.9
TCGA.R8.A6YH.01,1039.92,2112.28
TCGA.RY.A83X.01,1046.36,1974.86
TCGA.RY.A83Y.01,749.61,2765.75
TCGA.RY.A83Z.01,745.703,2648.6
TCGA.RY.A840.01,1765.76,2190.81
