"","gene_id","entrezgene","ensembl_gene_id","transcript_id.transcript_id_TCGA.BH.A0B6.01A.11R.A19W.07","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KCNN3|3782","KCNN3",3782,"ENSG00000143603","uc001ffo.2,uc001ffp.2,uc009wox.1",-0.225325508546902,0.35489031034393,-1.19724908234315,0.233146102385371,0.289056734667305,-6.30274957186665
"JAK3|3718","JAK3",3718,"ENSG00000105639","uc002nhn.3,uc002nho.2,uc010ebh.2,uc010xpx.1,uc010xpy.1",0.372461775179094,3.43902656110589,1.52997510993496,0.128182598200431,0.170128360985902,-6.30347881261133
"FUZ|80199","FUZ",80199,"ENSG00000010361","uc002ppq.1,uc002ppr.1,uc002pps.1,uc002ppt.1,uc002ppu.1,uc002ppv.1,uc010ybd.1",0.255125054129286,3.82061390150284,1.58674342831824,0.114730115083585,0.153956413741531,-6.30483735681651
"TMX1|81542","TMX1",81542,"ENSG00000139921","uc001wza.3,uc010aoa.2,uc010tqr.1",0.149941939824397,5.84513500287288,1.75080636541069,0.0820756426534657,0.113730714703822,-6.30498602777365
"CAMK1D|57118","CAMK1D",57118,"ENSG00000183049","uc001iln.2,uc001ilo.2",0.259726037346597,2.31139596275984,1.38853494273345,0.167084996601045,0.215057818503378,-6.30619802902366
"STAM2|10254","STAM2",10254,"ENSG00000115145","uc002tyc.3,uc002tyd.2,uc010foa.1",-0.158831345977448,5.71813968712712,-1.7504421299632,0.0821386607268878,0.113798800300566,-6.30735589674817
"SEPT1|1731","SEPT1",1731,"ENSG00000180096","uc002dxw.2,uc002dxx.2,uc002dxy.2,uc010veq.1",0.336863906722433,2.23959971273242,1.37164184011988,0.172275196280055,0.220974850779691,-6.30856814112175
"FAM195B|348262","FAM195B",348262,"ENSG00000225663","uc002kjd.2,uc010wuy.1,uc010wuz.1",0.217685796835537,5.72776920322322,1.7430198653265,0.0834314784818524,0.115365693170672,-6.30875645794713
"BMS1P4|729096","RP11-574K11.28",729096,"ENSG00000271816","uc001juv.3,uc010qkm.1",-0.216321447635255,0.810405875629619,-1.23999528910791,0.216962617944685,0.271372942594427,-6.30890400764173
"KLC4|89953","KLC4",89953,"ENSG00000137171","uc003otr.1,uc003otu.2,uc003otv.1,uc003otw.1,uc003otx.1,uc003oty.1,uc003otz.1,uc011dvd.1",0.181195358063789,4.64485270404562,1.67710109067004,0.095658394990044,0.130554755866365,-6.30899824940954
"FCGR2C|9103","FCGR2C",9103,"ENSG00000244682","uc001gav.2,uc009wuj.2,uc009wuk.2",-0.264207525944481,1.94563042841141,-1.3760495747512,0.170909367396335,0.219428942681143,-6.30910103780278
"KLRC2|3822","KLRC2",3822,"ENSG00000205809","uc001qyk.2,uc010she.1",-0.36910881346008,-2.56870770749739,-0.904536801250674,0.367198174411409,0.430234910756192,-6.31025211635074
"SCARNA12|677777","SCARNA12",677777,"ENSG00000238795","uc001qsg.2",0.205112371052063,-3.06022260662052,0.81755880096957,0.414938835725904,0.477972686403209,-6.31103747924889
"PECI|10455","ECI2",10455,"ENSG00000198721","uc003mwc.2,uc003mwd.2,uc003mwe.2,uc003mwf.2,uc010jnr.1",-0.271974504863349,5.76461661627328,-1.74973556779901,0.0822610193760467,0.113939434914744,-6.31376918823473
"FAHD2B|151313","FAHD2B",151313,"ENSG00000144199","uc002sxm.2",0.213376572178246,3.65137007109745,1.56304701008948,0.120202421621812,0.160511403442859,-6.31545169648447
"PLCL1|5334","PLCL1",5334,"ENSG00000115896","uc002uuv.3,uc010fsp.2",-0.377842815654573,3.6918801144491,-1.60367041981099,0.110943767693573,0.149327760884108,-6.31661240861847
"TMC3|342125","TMC3",342125,"ENSG00000188869","uc002bgo.1,uc002bgp.2,uc010blr.1",0.466670968073346,-2.44784206638331,0.862468293975926,0.389841652618833,0.453170534853092,-6.31678931992686
"GLDC|2731","GLDC",2731,"ENSG00000178445","uc003zkc.2",0.530205902086573,-0.649680239363786,1.04583573472899,0.297362017651878,0.358399714555572,-6.31690737433908
"MOSPD2|158747","MOSPD2",158747,"ENSG00000130150","uc004cwi.2,uc004cwj.2",-0.178977168463984,3.89319325857649,-1.615223424694,0.108417225869922,0.146287407482429,-6.31871997727982
"LCP1|3936","LCP1",3936,"ENSG00000136167","uc001vay.3,uc001vaz.3,uc001vba.3,uc010ack.2",0.364540097877713,7.24545481505456,1.75910578450965,0.0806504242950373,0.111897685840626,-6.31872128804727
"CEACAM21|90273","CEACAM21",90273,"ENSG00000007129","uc002orc.1,uc002ord.1,uc002ore.3,uc002orf.2,uc002org.3",0.266043215574223,-0.355027341379582,1.08941092149602,0.277764208148691,0.337558667782775,-6.3187233971814
"C19orf44|84167","C19orf44",84167,"ENSG00000105072","uc002nef.1,uc002neg.2,uc002neh.1,uc010eai.1",-0.14699560989436,3.11877087084123,-1.51237936812429,0.132594878364482,0.175218477825836,-6.32056927359612
"HKR1|284459","HKR1",284459,"ENSG00000181666","uc002ofx.2,uc002ofy.2,uc002ofz.2,uc002oga.2,uc002ogb.2,uc002ogc.2,uc002ogd.2,uc010xto.1,uc010xtp.1",0.162061120176282,5.37963419286629,1.72060337105045,0.0874373873937316,0.120215408330496,-6.32168886919471
"NANP|140838","NANP",140838,"ENSG00000170191","uc002wuy.2",0.144462505856949,3.37462822509057,1.5265467454894,0.129033122197282,0.171132513979633,-6.32168971113232
"EPHA3|2042","EPHA3",2042,"ENSG00000044524","uc003dqx.1,uc003dqy.2,uc010hon.1",-0.402383283734345,2.07522199126385,-1.38937343182166,0.166830507358988,0.214780849508658,-6.32447458971375
"KIAA0319|9856","KIAA0319",9856,"ENSG00000137261","uc003neh.1,uc010jpt.1,uc011djo.1,uc011djp.1,uc011djq.1,uc011djr.1",0.411841979318419,-1.49400863938384,0.961232538716155,0.338021506052302,0.400399174148948,-6.32520905540319
"FAM96B|51647","FAM96B",51647,"ENSG00000166595","uc002eqp.2",0.175668484990718,4.49882630538783,1.6549470038868,0.100079296286903,0.136089912352977,-6.3254136806718
"C10orf78|119392","SFR1",119392,"ENSG00000156384","uc001kxs.2,uc001kxt.2,uc001kxu.2,uc001kxv.2",-0.122874012845138,2.74518237999714,-1.45662525075511,0.147363053606884,0.192254488367918,-6.32647877082183
"RNF166|115992","RNF166",115992,"ENSG00000158717","uc002flk.2,uc002fll.2",0.181798216404131,3.28839546605953,1.50895689304011,0.133466738875959,0.176129253572606,-6.32699910094094
"PNPLA3|80339","PNPLA3",80339,"ENSG00000100344","uc003bei.1,uc010gzm.1",0.508164250695237,-0.504193722808987,1.05078056285175,0.295092248099145,0.35600429136341,-6.32845011561805
"OSTF1|26578","OSTF1",26578,"ENSG00000134996","uc004ajv.3,uc004ajw.3,uc004ajx.3",0.146371658064384,5.34729239037265,1.71533627067874,0.0884010384653308,0.121458818689292,-6.3290775715782
"RRH|10692","RRH",10692,"ENSG00000180245","uc003hzv.2",0.212543891122892,-2.49632557038938,0.857346809970805,0.392655726492662,0.455763096864961,-6.32984685450339
"CORO6|84940","CORO6",84940,"ENSG00000167549","uc002hel.2,uc002hem.2,uc002hen.2",-0.435978545464363,0.750681691677058,-1.22849070118504,0.221235673615979,0.276211837122867,-6.32993759343598
"C7orf13|129790","LINC01006",129790,"ENSG00000182648","uc003wmm.2,uc003wmn.1",0.3395895253301,2.62167536094511,1.40654939002305,0.161681994126415,0.208907204579795,-6.33100220454759
"CCDC103|388389","CCDC103",388389,"ENSG00000167131","uc002iho.2,uc002ihp.1",0.293490066881158,2.69729854904755,1.41643604122545,0.158773916989867,0.205717189214564,-6.3317095910507
"SLC35D2|11046","SLC35D2",11046,"ENSG00000130958","uc004awc.2,uc004awd.2,uc004awe.2,uc010msd.2,uc010mse.2,uc010msf.2",-0.163272863557787,4.37306703728812,-1.65443512037552,0.100183357335857,0.136186232186073,-6.33246634522631
"THBS1|7057","THBS1",7057,"ENSG00000137801","uc001zkh.2,uc010bbi.2",0.291439785221357,9.13557320770266,1.72503188782381,0.0866338025841171,0.119247671530294,-6.33386405839833
"GP5|2814","GP5",2814,"ENSG00000178732","uc003ftv.1",0.188904572782006,-2.92332493909709,0.80604914574376,0.421522974991533,0.484501693333184,-6.33417889119444
"SLC2A3|6515","SLC2A3",6515,"ENSG00000059804","uc001qtr.2,uc001qts.2",-0.357996314676068,5.02611867435709,-1.70871433421537,0.0896248195339859,0.12299592260507,-6.33464562677895
"PRKAA2|5563","PRKAA2",5563,"ENSG00000162409","uc001cyk.3",-0.525322970621592,3.43815977237417,-1.56853606816476,0.11891678336575,0.158962960412435,-6.33473906191372
"UEVLD|55293","UEVLD",55293,"ENSG00000151116","uc001mot.2,uc001mou.2,uc001mov.2,uc010rde.1,uc010rdf.1,uc010rdg.1,uc010rdh.1",0.209734512784619,4.2284271354868,1.61882462668122,0.107639146225839,0.14528537487456,-6.33640577044107
"SMURF1|57154","SMURF1",57154,"ENSG00000198742","uc003upt.2,uc003upu.1,uc003upv.1",-0.133015660881926,5.62788719726028,-1.72931408167864,0.0858625083983469,0.118308115875147,-6.33752114955121
"RAB23|51715","RAB23",51715,"ENSG00000112210","uc003pds.2,uc003pdt.2,uc010kac.2,uc010kad.2",0.234537436826188,4.53932737174773,1.64770916641465,0.101558791922805,0.137838797481784,-6.33816281240104
"DBH|1621","DBH",1621,"ENSG00000123454","uc004cel.2",0.21478513698783,-2.83512698020399,0.809914683582689,0.419304805059247,0.482324093049487,-6.33834503764187
"PSMD5|5711","PSMD5",5711,"ENSG00000095261","uc004bko.2,uc011lye.1",0.203272720897549,5.97272929807609,1.73398309712342,0.0850279389182201,0.117286329880126,-6.33909708030532
"WDR63|126820","WDR63",126820,"ENSG00000162643","uc001dkt.2,uc009wcl.2",0.321762467003094,-1.55300115297721,0.943606516034789,0.346926683762822,0.409733884706267,-6.33970534496462
"ENO3|2027","ENO3",2027,"ENSG00000108515","uc002gab.3,uc002gac.3,uc010vsr.1,uc010vss.1,uc010vst.1",0.227744416565774,0.915977900285986,1.19997652036312,0.232088352466373,0.288006695203522,-6.34045735237018
"PTPMT1|114971","PTPMT1",114971,"ENSG00000110536","uc001nfs.3,uc001nfu.3,uc001nfv.3,uc009ylt.2",0.149302491803873,5.28053823994244,1.70446850176098,0.0904167052810928,0.124020370346238,-6.3410263322931
"DHX29|54505","DHX29",54505,"ENSG00000067248","uc003jpx.2,uc010ivw.2",0.157584288627378,6.00916573691175,1.73434812908899,0.0849629710768746,0.117226304311924,-6.341602929801
"CHMP1B|57132","CHMP1B",57132,"ENSG00000255112","uc002kqe.2",-0.121055993960833,6.29918819195091,-1.74283528386768,0.0834638400524563,0.115400707921057,-6.34212055429519
"LRP11|84918","LRP11",84918,"ENSG00000120256","uc003qng.2,uc003qnh.1",0.234641581760313,5.91360258900863,1.72949139660329,0.0858306922916732,0.118274217822114,-6.34254512057581
"C6orf134|79969","ATAT1",79969,"ENSG00000137343","uc003nqr.3,uc003nqs.3,uc003nqt.2,uc003nqu.2,uc003nqv.2,uc003rdc.2,uc003rdd.2,uc011dmm.1",0.172456199446662,3.60489243436366,1.53957197729435,0.125825169657545,0.167311041557773,-6.34269598018607
