PATIENT_ID,FOXM1,MCM2
TCGA.A2.A0YJ.01,11.83355031,10.43826166
TCGA.A2.A0YK.01,8.287112094,9.552436634
TCGA.A2.A0YL.01,9.212265341,9.965955955
TCGA.A2.A0YM.01,12.55962803,11.87977851
TCGA.A2.A0YT.01,10.61013898,10.80331585
TCGA.A2.A1FV.01,8.639774809,9.05467757
TCGA.A2.A1FW.01,10.5278093,10.34233028
TCGA.A2.A1FX.01,10.20013845,11.13275676
TCGA.A2.A1FZ.01,8.574071225,10.44420737
TCGA.A2.A1G0.01,7.053306869,8.865680696
TCGA.A2.A1G1.01,12.11653566,10.05903344
TCGA.A2.A1G4.01,10.31280356,11.01019939
TCGA.A2.A1G6.01,5.608371638,8.579647814
TCGA.A2.A259.01,7.220175151,9.148285905
TCGA.A2.A25A.01,8.866849265,9.608140215
TCGA.A2.A25B.01,10.2874469,10.30468215
TCGA.A2.A25C.01,9.182645127,9.261399176
TCGA.A2.A25D.01,10.16832112,10.71422834
TCGA.A2.A25E.01,10.70221598,10.09300814
TCGA.A2.A25F.01,10.77677023,10.42298981
TCGA.A2.A3KC.01,9.513407839,9.919098699
TCGA.A2.A3KD.01,9.576163082,9.346897071
TCGA.A2.A3XS.01,10.58703676,11.24990749
TCGA.A2.A3XT.01,12.16667151,11.63268173
TCGA.A2.A3XU.01,10.34281916,11.71081504
TCGA.A2.A3XV.01,9.056209584,9.445726703
TCGA.A2.A3XW.01,9.086969482,10.06114164
TCGA.A2.A3XX.01,10.7030557,11.0636108
TCGA.A2.A3XY.01,10.81731147,10.31266744
TCGA.A2.A3XZ.01,10.2276761,10.08998006
TCGA.A2.A3Y0.01,12.21225622,11.73914771
TCGA.A2.A4RW.01,8.593566663,9.381240105
TCGA.A2.A4RX.01,9.124514251,11.68369207
TCGA.A2.A4RY.01,7.832409036,9.405492519
TCGA.A2.A4S0.01,7.816612505,9.1393774
TCGA.A2.A4S1.01,8.214697961,9.423708418
TCGA.A2.A4S2.01,8.25641629,9.411604199
TCGA.A2.A4S3.01,11.20412482,11.45471569
TCGA.A7.A0CD.01,9.067786588,10.91092
TCGA.A7.A0CE.01,11.96812676,11.28194161
TCGA.A7.A0CG.01,8.928420662,9.310228769
TCGA.A7.A0CH.01,8.177783281,9.555451908
TCGA.A7.A0CJ.01,10.43357501,11.89630591
TCGA.A7.A0D9.01,7.669374071,8.872465578
TCGA.A7.A0DA.01,10.2478326,10.43309507
TCGA.A7.A0DB.01,8.361996394,9.811220541
