PATIENT_ID,FOXM1,MCM2
TCGA.A7.A5ZV.01,2505.37,2678.71
TCGA.A7.A5ZW.01,130.032,514.126
TCGA.A7.A5ZX.01,89.4159,378.517
TCGA.A7.A6VV.01,1797.01,5015.78
TCGA.A7.A6VW.01,4499.48,3710.15
TCGA.A7.A6VX.01,1388.45,2860.16
TCGA.A7.A6VY.01,2976.62,4520.58
TCGA.A8.A06N.01,532.733,1470.86
TCGA.A8.A06O.01,1159.48,2787.12
TCGA.A8.A06P.01,236.504,763.053
TCGA.A8.A06Q.01,1038.15,1364.01
TCGA.A8.A06R.01,249.719,1082.14
TCGA.A8.A06T.01,402.559,1100.66
TCGA.A8.A06U.01,791.711,671.723
TCGA.A8.A06X.01,1302.8,1467.46
TCGA.A8.A06Y.01,353.921,395.9
TCGA.A8.A06Z.01,952.38,1558.86
TCGA.A8.A075.01,1598.33,1989.6
TCGA.A8.A076.01,1153.95,1744.62
TCGA.A8.A079.01,3283.57,3252.52
TCGA.A8.A07B.01,1019.67,1161.45
TCGA.A8.A07C.01,4036.77,2051.86
TCGA.A8.A07E.01,1207.83,1543.84
TCGA.A8.A07F.01,706.16,744.344
TCGA.A8.A07G.01,297.253,1047.05
TCGA.A8.A07I.01,1336.69,1699.04
TCGA.A8.A07J.01,167.434,837.263
TCGA.A8.A07L.01,5023.77,4345.78
TCGA.A8.A07O.01,3321.94,3586.12
TCGA.A8.A07P.01,525.325,1066.34
TCGA.A8.A07R.01,3211.38,3497.9
TCGA.A8.A07S.01,1185.26,888.629
TCGA.A8.A07U.01,4086.93,1755.67
TCGA.A8.A07W.01,1567.27,3207.44
TCGA.A8.A07Z.01,1316.52,1613.47
TCGA.A8.A081.01,1553.86,2908.71
TCGA.A8.A082.01,1322.79,1923.6
TCGA.A8.A083.01,113.184,403.636
TCGA.A8.A085.01,553.718,3841.13
TCGA.A8.A086.01,567.197,1847.02
TCGA.A8.A08A.01,464.428,937.821
TCGA.A8.A08B.01,1003.66,1955.83
TCGA.A8.A08C.01,288.855,675.584
TCGA.A8.A08G.01,1458.55,1234.68
TCGA.A8.A08H.01,1133.04,965.364
TCGA.A8.A08I.01,1365.1,2032.31
TCGA.A8.A08J.01,1278.32,1835
TCGA.A8.A08L.01,1088.49,5015.86
TCGA.A8.A08O.01,658.115,825.159
TCGA.A8.A08P.01,1488.14,999.196
TCGA.A8.A08R.01,3769.69,2095.17
TCGA.A8.A08T.01,346.992,911.148
TCGA.A8.A08X.01,1081.36,1184.3
TCGA.A8.A08Z.01,282.37,787.859
TCGA.A8.A090.01,825.352,1261.41
TCGA.A8.A091.01,414.086,912.362
TCGA.A8.A092.01,2062.28,2470.56
TCGA.A8.A093.01,439.598,1128.6
TCGA.A8.A094.01,1643.72,634.603
TCGA.A8.A095.01,944.658,2618.43
TCGA.A8.A096.01,800.366,1048.9
TCGA.A8.A097.01,679.381,1799.7
TCGA.A8.A099.01,399.734,600.213
TCGA.A8.A09A.01,614.925,563.661
TCGA.A8.A09B.01,386.849,1304.04
TCGA.A8.A09C.01,1065.06,1096.46
TCGA.A8.A09D.01,634.884,943.063
TCGA.A8.A09G.01,1215.18,1314.66
TCGA.A8.A09I.01,1710.72,2265.52
TCGA.A8.A09M.01,828.352,1409.09
TCGA.A8.A09N.01,1784.28,1584.12
TCGA.A8.A09Q.01,633.209,2263.98
TCGA.A8.A09R.01,761.221,956.891
TCGA.A8.A09T.01,425.495,1187.89
TCGA.A8.A09V.01,484.446,886.995
TCGA.A8.A09W.01,1428.69,2671.56
TCGA.A8.A09X.01,2601.24,999.276
TCGA.A8.A09Z.01,746.924,596.003
TCGA.A8.A0A1.01,452.57,965.361
TCGA.A8.A0A2.01,415.587,577.286
TCGA.A8.A0A4.01,744.174,1642.18
TCGA.A8.A0A6.01,216.912,560.181
TCGA.A8.A0A7.01,583.337,905.771
TCGA.A8.A0A9.01,820.932,1081.14
TCGA.A8.A0AB.01,793.81,1814.19
TCGA.A8.A0AD.01,544.549,1002.61
TCGA.AC.A23C.01,649.788,944.202
TCGA.AC.A23E.01,334.152,629.777
TCGA.AC.A23G.01,366.185,744.913
TCGA.AC.A23H.01,843.52,1954.62
TCGA.AC.A2B8.01,301.471,803.729
TCGA.AC.A2BK.01,1905.14,3590.66
TCGA.AC.A2BM.01,765.803,1466.62
TCGA.AC.A2FB.01,342.712,753.708
TCGA.AC.A2FE.01,378.222,661.252
TCGA.AC.A2FF.01,458.309,487.279
TCGA.AC.A2FG.01,202.996,830.785
TCGA.AC.A2FK.01,67.9013,329.035
TCGA.AC.A2FM.01,779.034,1322.42
TCGA.AC.A2FO.01,193.491,459.271
TCGA.AC.A2QH.01,3510,1461.67
TCGA.AC.A2QI.01,83.9809,705.639
TCGA.AC.A2QJ.01,577.387,1660.6
TCGA.AC.A3BB.01,229.492,771.333
TCGA.AC.A3EH.01,503.058,1148.58
TCGA.AC.A3HN.01,531.92,878.274
TCGA.AC.A3OD.01,566.231,1391.48
TCGA.AC.A3QP.01,171.135,591.135
TCGA.AC.A3QQ.01,556.898,2068.33
TCGA.AC.A3TM.01,777.079,1273.01
TCGA.AC.A3TN.01,219.228,685.414
TCGA.AC.A3W5.01,906.713,970.383
